iter	Logloss
0	0.6787797755
1	0.6661997133
2	0.6537204642
3	0.6400450832
4	0.626671957
5	0.6113244648
6	0.59806026
7	0.5842177422
8	0.5701780464
9	0.5587361607
10	0.5462429395
11	0.5334553604
12	0.5224075478
13	0.5113374846
14	0.5007080535
15	0.4905461941
16	0.4806460143
17	0.4707926245
18	0.4604710741
19	0.4502434713
20	0.4398841056
21	0.431601205
22	0.4238976715
23	0.4152034792
24	0.4083287776
25	0.399365525
26	0.3912418963
27	0.3844787764
28	0.3781945768
29	0.3718041182
30	0.3652166207
31	0.3585584228
32	0.3521797695
33	0.3454004037
34	0.3398437433
35	0.3343098577
36	0.3305691584
37	0.3243439186
38	0.3187934153
39	0.3132693834
40	0.3083364537
41	0.3046797216
42	0.3005213572
43	0.2962382419
44	0.2912472909
45	0.2865170019
46	0.2818810122
47	0.2767378874
48	0.2716587957
49	0.2674918349
50	0.2633118898
51	0.2601658563
52	0.2562415006
53	0.251730009
54	0.2471618046
55	0.2430786251
56	0.2409252594
57	0.2375760006
58	0.2352335827
59	0.2322931779
60	0.2288085603
61	0.225874705
62	0.2223930813
63	0.219038829
64	0.215909672
65	0.2128168589
66	0.2103751626
67	0.2071093821
68	0.2045617607
69	0.2012616678
70	0.1979347829
71	0.1951445974
72	0.1926391146
73	0.1896802917
74	0.1871006037
75	0.1842684702
76	0.1821885051
77	0.1800105971
78	0.1777790495
79	0.1758072587
80	0.1739954985
81	0.1716210104
82	0.1694180274
83	0.167647005
84	0.1659411182
85	0.1642674053
86	0.1622044241
87	0.1604706061
88	0.1585793913
89	0.1567307278
90	0.1554100371
91	0.153609529
92	0.1517665924
93	0.1503536952
94	0.1491337916
95	0.147666565
96	0.1459557805
97	0.1450144241
98	0.1433393475
99	0.1419350173
100	0.140752454
101	0.1394694091
102	0.1382044992
103	0.137064459
104	0.13564261
105	0.134289699
106	0.1329096503
107	0.1318325621
108	0.130370155
109	0.1289631926
110	0.1274043987
111	0.1263083422
112	0.1253291439
113	0.1242487198
114	0.1234429561
115	0.1224079334
116	0.1213164807
117	0.1204956563
118	0.1194845442
119	0.1185510436
120	0.1175392239
121	0.1167492156
122	0.1159001117
123	0.1147555318
124	0.1140688564
125	0.1131327153
126	0.1123267974
127	0.1113659428
128	0.1104305893
129	0.1095424502
130	0.1086745075
131	0.1078935892
132	0.1070497104
133	0.106166171
134	0.1053141484
135	0.1045472912
136	0.1036173189
137	0.1028291856
138	0.1021532843
139	0.101276301
140	0.100626234
141	0.09987692743
142	0.09916586932
143	0.09839731507
144	0.09772065947
145	0.09699006225
146	0.09635210398
147	0.09556804099
148	0.09506139886
149	0.09424118118
150	0.09374648414
151	0.09319091755
152	0.09253315218
153	0.09188391529
154	0.09100187349
155	0.09076183957
156	0.0901879232
157	0.08963082412
158	0.08910643803
159	0.08866543089
160	0.08820200652
161	0.08769699813
162	0.08705054082
163	0.08640486506
164	0.08594082468
165	0.08534916462
166	0.08470963683
167	0.08406643679
168	0.08356118109
169	0.08312494136
170	0.08276876473
171	0.08238018486
172	0.08180871753
173	0.08143257866
174	0.08094700786
175	0.08055030736
176	0.07989810584
